,player_id,given_name,family_name,count_tournaments,team_count,list_tournaments,team_name,team_code,full_name
1347,P-01572,Carlos,Spadaro,1,1,1930,Argentina,ARG,Carlos Spadaro
1348,P-01573,not applicable,Zé Roberto,2,1,"1998, 2006",Brazil,BRA,Zé Roberto
1349,P-01574,Georges,Bregy,1,1,1994,Switzerland,CHE,Georges Bregy
1350,P-01575,not applicable,Duda,1,1,2010,Portugal,PRT,Duda
1351,P-01576,Michael,Beauchamp,2,1,"2006, 2010",Australia,AUS,Michael Beauchamp
1352,P-01577,Andranik,Eskandarian,1,1,1978,Iran,IRN,Andranik Eskandarian
1353,P-01578,Andrei,Bărbulescu,1,1,1938,Romania,ROU,Andrei Bărbulescu
1354,P-01579,Kosta,Tomašević,1,1,1950,Yugoslavia,YUG,Kosta Tomašević
1355,P-01580,Ralf,Edström,2,1,"1974, 1978",Sweden,SWE,Ralf Edström
1356,P-01581,Driss,Bamous,1,1,1970,Morocco,MAR,Driss Bamous
1357,P-01582,Christoph,Kramer,1,1,2014,Germany,DEU,Christoph Kramer
1358,P-01583,Sándor,Gellér,1,1,1954,Hungary,HUN,Sándor Gellér
1359,P-01584,Omar,Bravo,1,1,2006,Mexico,MEX,Omar Bravo
1360,P-01585,João,Palhinha,1,1,2022,Portugal,PRT,João Palhinha
1361,P-01587,José,Juncosa,1,1,1950,Spain,ESP,José Juncosa
1362,P-01588,Yoon-kyung,Oh,1,1,1966,North Korea,PRK,Yoon-kyung Oh
1363,P-01589,Aleksandr,Chivadze,2,1,"1982, 1986",Soviet Union,SUN,Aleksandr Chivadze
1364,P-01590,Carvalho,Leite,2,1,"1930, 1934",Brazil,BRA,Carvalho Leite
1365,P-01591,Abel,Balbo,3,1,"1990, 1994, 1998",Argentina,ARG,Abel Balbo
1366,P-01593,Erol,Keskin,1,1,1954,Turkey,TUR,Erol Keskin
1367,P-01594,Adem,Ljajić,1,1,2018,Serbia,SRB,Adem Ljajić
1368,P-01596,Josip,Šimunić,2,1,"2002, 2006",Croatia,HRV,Josip Šimunić
1369,P-01597,László,Pusztai,1,1,1978,Hungary,HUN,László Pusztai
1370,P-01598,Eissa,Meer,1,1,1990,United Arab Emirates,ARE,Eissa Meer
1371,P-01599,Ioannis,Kalitzakis,1,1,1994,Greece,GRC,Ioannis Kalitzakis
1372,P-01601,Milan,Rodić,1,1,2018,Serbia,SRB,Milan Rodić
1373,P-01603,Michael,Laudrup,2,1,"1986, 1998",Denmark,DNK,Michael Laudrup
1374,P-01604,Daniel,Agger,1,1,2010,Denmark,DNK,Daniel Agger
1375,P-01605,Louis,Gabrillargues,1,1,1934,France,FRA,Louis Gabrillargues
1376,P-01606,Euzebiusz,Smolarek,1,1,2006,Poland,POL,Euzebiusz Smolarek
1377,P-01607,Héctor,Socorro,1,1,1938,Cuba,CUB,Héctor Socorro
1378,P-01608,Darko,Kovačević,1,1,1998,Yugoslavia,YUG,Darko Kovačević
1379,P-01609,Riadh,Jelassi,2,1,"1998, 2002",Tunisia,TUN,Riadh Jelassi
1380,P-01610,Ray,Houghton,2,1,"1990, 1994",Republic of Ireland,IRL,Ray Houghton
1381,P-01612,Mel,Hopkins,1,1,1958,Wales,WAL,Mel Hopkins
1382,P-01613,José María,Basanta,1,1,2014,Argentina,ARG,José María Basanta
1383,P-01615,Russell,Latapy,1,1,2006,Trinidad and Tobago,TTO,Russell Latapy
1384,P-01617,Gabriel,Popescu,1,1,1998,Romania,ROU,Gabriel Popescu
1385,P-01618,Mario,Galindo,2,1,"1974, 1982",Chile,CHL,Mario Galindo
1386,P-01619,Yochanan,Vollach,1,1,1970,Israel,ISR,Yochanan Vollach
1387,P-01620,Gennaro,Gattuso,3,1,"2002, 2006, 2010",Italy,ITA,Gennaro Gattuso
1388,P-01621,Allal,Ben Kassou,1,1,1970,Morocco,MAR,Allal Ben Kassou
1389,P-01622,Obafemi,Martins,1,1,2010,Nigeria,NGA,Obafemi Martins
1390,P-01623,Rolando,García,1,1,1974,Chile,CHL,Rolando García
1391,P-01624,Hernán,Galíndez,1,1,2022,Ecuador,ECU,Hernán Galíndez
1392,P-01625,Marcos,Rojo,2,1,"2014, 2018",Argentina,ARG,Marcos Rojo
1393,P-01626,Thomas,Vermaelen,2,1,"2014, 2018",Belgium,BEL,Thomas Vermaelen
1394,P-01627,Tin,Jedvaj,1,1,2018,Croatia,HRV,Tin Jedvaj
1395,P-01628,Dariusz,Dudka,1,1,2006,Poland,POL,Dariusz Dudka
1396,P-01630,Jacques,Grimonpon,1,1,1954,France,FRA,Jacques Grimonpon
1397,P-01632,Víctor,Aristizábal,2,1,"1994, 1998",Colombia,COL,Víctor Aristizábal
1398,P-01633,Emerich,Dembrovschi,1,1,1970,Romania,ROU,Emerich Dembrovschi
1399,P-01634,Axel,Witsel,3,1,"2014, 2018, 2022",Belgium,BEL,Axel Witsel
1400,P-01635,Antoine,Cuissard,1,1,1954,France,FRA,Antoine Cuissard
